simulation,selected_players,jaccard,tsf_optimum,tsf_baseline_reference,delta_tsf,tsf_baseline_perturbed,regret,orbit_open
48,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45515172037499263,0.4556941843506398,-0.0005424639756471672,0.45515172037499263,0.0,1
49,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45579225577492444,0.4556941843506398,9.807142428464033e-05,0.45579225577492444,0.0,1
50,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4556727140181208,0.4556941843506398,-2.147033251898023e-05,0.4556727140181208,0.0,1
51,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4561633959899182,0.4556941843506398,0.0004692116392783774,0.4561633959899182,0.0,1
52,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4561617832169126,0.4556941843506398,0.00046759886627278924,0.4561617832169126,0.0,1
53,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45536027187321115,0.4556941843506398,-0.00033391247742864394,0.45536027187321115,0.0,1
54,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45647146125251814,0.4556941843506398,0.0007772769018783432,0.45647146125251814,0.0,1
55,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4561550367556655,0.4556941843506398,0.00046085240502569125,0.4561550367556655,0.0,1
56,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45590035172698673,0.4556941843506398,0.00020616737634693294,0.45590035172698673,0.0,1
57,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45503756742074597,0.4556941843506398,-0.0006566169298938274,0.45503756742074597,0.0,1
58,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4538029062705303,0.4556941843506398,-0.0018912780801094708,0.4538029062705303,0.0,1
59,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4553296392632018,0.4556941843506398,-0.0003645450874379952,0.4553296392632018,0.0,1
60,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.456442854178988,0.4556941843506398,0.000748669828348203,0.456442854178988,0.0,1
61,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4573429968722734,0.4556941843506398,0.0016488125216336247,0.4573429968722734,0.0,1
62,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4562335050048212,0.4556941843506398,0.0005393206541813855,0.4562335050048212,0.0,1
63,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4560054712570062,0.4556941843506398,0.00031128690636639256,0.4560054712570062,0.0,1
64,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45693357505639154,0.4556941843506398,0.0012393907057517417,0.45693357505639154,0.0,1
65,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45492744346802094,0.4556941843506398,-0.0007667408826188549,0.45492744346802094,0.0,1
66,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45658631216875467,0.4556941843506398,0.000892127818114874,0.45658631216875467,0.0,1
67,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4575507516290369,0.4556941843506398,0.0018565672783971143,0.4575507516290369,0.0,1
68,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4557584721422866,0.4556941843506398,6.428779164679987e-05,0.4557584721422866,0.0,1
69,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4558069716745463,0.4556941843506398,0.0001127873239065158,0.4558069716745463,0.0,1
70,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45509323903756005,0.4556941843506398,-0.0006009453130797482,0.45509323903756005,0.0,1
71,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4561477271751322,0.4556941843506398,0.00045354282449239225,0.4561477271751322,0.0,1
72,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4563283991962548,0.4556941843506398,0.0006342148456149888,0.4563283991962548,0.0,1
73,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45667176093913475,0.4556941843506398,0.000977576588494955,0.45667176093913475,0.0,1
74,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4552038275852308,0.4556941843506398,-0.0004903567654089835,0.4552038275852308,0.0,1
75,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4548049368581526,0.4556941843506398,-0.0008892474924871996,0.4548049368581526,0.0,1
76,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45599220279793506,0.4556941843506398,0.0002980184472952674,0.45599220279793506,0.0,1
77,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45693219077794733,0.4556941843506398,0.0012380064273075364,0.45693219077794733,0.0,1
78,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45671864027353026,0.4556941843506398,0.001024455922890466,0.45671864027353026,0.0,1
79,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4547144600850538,0.4556941843506398,-0.0009797242655860128,0.4547144600850538,0.0,1
80,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4549570335892288,0.4556941843506398,-0.0007371507614110095,0.4549570335892288,0.0,1
81,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4561015860158467,0.4556941843506398,0.000407401665206919,0.4561015860158467,0.0,1
82,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45551629888738876,0.4556941843506398,-0.00017788546325103738,0.45551629888738876,0.0,1
83,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45579104905972434,0.4556941843506398,9.686470908454314e-05,0.45579104905972434,0.0,1
84,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45559719427808065,0.4556941843506398,-9.699007255914438e-05,0.45559719427808065,0.0,1
85,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45596677000787755,0.4556941843506398,0.0002725856572377561,0.45596677000787755,0.0,1
86,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45578938984405404,0.4556941843506398,9.5205493414241e-05,0.45578938984405404,0.0,1
87,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45595018329427783,0.4556941843506398,0.0002559989436380361,0.45595018329427783,0.0,1
88,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45571366421476545,0.4556941843506398,1.9479864125648838e-05,0.45571366421476545,0.0,1
89,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4559263163094871,0.4556941843506398,0.00023213195884730364,0.4559263163094871,0.0,1
