player,criterion,T,I,F
P10,C10,0.755490815,0.055000000,0.244509185
P10,C11,0.569758318,0.055000000,0.430241682
P10,C12,0.422442244,0.527500000,0.577557756
P11,C1,0.737037037,0.000000000,0.262962963
P11,C2,0.543890937,0.000000000,0.456109063
P11,C3,0.208122203,0.000000000,0.791877797
P11,C4,0.344000000,0.000000000,0.656000000
P11,C5,0.600811045,0.000000000,0.399188955
P11,C6,0.636235625,0.000000000,0.363764375
P11,C7,0.445476351,0.000000000,0.554523649
P11,C8,0.500000000,1.000000000,0.500000000
P11,C9,0.500000000,1.000000000,0.500000000
P11,C10,0.577407296,0.000000000,0.422592704
P11,C11,0.677946128,0.000000000,0.322053872
P11,C12,0.778877888,0.500000000,0.221122112
P12,C1,0.951851852,0.000000000,0.048148148
P12,C2,0.584300260,0.000000000,0.415699740
P12,C3,0.161293177,0.000000000,0.838706823
P12,C4,0.267000000,0.000000000,0.733000000
P12,C5,0.591954468,0.000000000,0.408045532
P12,C6,0.901565315,0.000000000,0.098434685
P12,C7,0.055610106,0.000000000,0.944389894
P12,C8,0.500000000,1.000000000,0.500000000
P12,C9,0.500000000,1.000000000,0.500000000
P12,C10,0.630164924,0.000000000,0.369835076
P12,C11,0.801305210,0.000000000,0.198694790
P12,C12,0.603960396,0.500000000,0.396039604
P13,C1,0.718518519,0.070000000,0.281481481
P13,C2,0.504787685,0.070000000,0.495212315
P13,C3,0.213768593,0.070000000,0.786231407
P13,C4,0.444000000,0.070000000,0.556000000
P13,C5,0.636592614,0.070000000,0.363407386
P13,C6,0.640208145,0.070000000,0.359791855
P13,C7,0.450249610,0.070000000,0.549750390
P13,C8,0.500000000,1.000000000,0.500000000
P13,C9,0.500000000,1.000000000,0.500000000
P13,C10,0.519876061,0.070000000,0.480123939
P13,C11,0.635092542,0.070000000,0.364907458
P13,C12,0.412541254,0.535000000,0.587458746
P14,C1,0.637037037,0.015000000,0.362962963
P14,C2,0.343858442,0.015000000,0.656141558
P14,C3,0.155883066,0.015000000,0.844116934
P14,C4,0.296000000,0.015000000,0.704000000
